S.N,Batch No,Time Taken
1,1,6384
2,2,5077
3,3,5677
4,4,7388
5,5,60177
6,6,7330
7,7,5283
8,8,60162
9,9,4636
10,10,12520
11,11,6875
12,12,60140
13,13,60143
14,14,10108
15,15,7657
16,16,10388
17,17,30138
18,18,60151
19,19,4097
20,20,60162
21,21,7834
22,22,5381
23,23,21198
24,24,7800
25,25,30119
26,26,39095
27,27,60117
28,28,60109
29,29,8155
30,30,6493
31,31,60172
32,32,13514
33,33,5412
34,34,19277
35,35,3504
36,36,6348
37,37,60173
38,38,30656
39,39,5925
40,40,7956
41,41,30124
42,42,60143
43,43,6153
44,44,5062
45,45,21960
46,46,11214
47,47,6103
48,48,13067
49,49,6841
50,50,30134
51,51,60154
52,52,8875
53,53,10887
54,54,6057
55,55,6646
56,56,6946
57,57,5270
58,58,3607
59,59,13795
60,60,60165
61,61,8603
62,62,3797
63,63,60162
64,64,60280
65,65,30217
66,66,5255
67,67,30129
68,68,4734
69,69,16554
70,70,60178
71,71,9352
72,72,11441
73,73,6860
74,74,30132
75,75,5043
76,76,13048
77,77,16103
78,78,60123
79,79,60143
80,80,7218
81,81,30127
82,82,60126
83,83,8313
84,84,60117
85,85,60120
86,86,5655
87,87,6504
88,88,8082
89,89,60132
90,90,16188
91,91,14891
92,92,3832
93,93,30832
94,94,7874
95,95,4108
96,96,14256
97,97,60130
98,98,60169
99,99,14726
100,100,60125
101,101,60159
102,102,60136
103,103,8778
104,104,60160
105,105,30267
106,106,42772
107,107,14707
108,108,8147
109,109,30124
110,110,4348
111,111,10208
112,112,60170
113,113,5315
114,114,5497
115,115,9607
116,116,4634
117,117,8655
118,118,30125
119,119,7479
120,120,9278
121,121,12553
122,122,34492
123,123,60163
124,124,11998
125,125,7297
126,126,60156
127,127,6170
128,128,9080
129,129,60167
130,130,5881
131,131,60161
132,132,60172
133,133,30119
134,134,7695
135,135,6217
136,136,8937
137,137,60168
138,138,60117
139,139,5619
140,140,6764
141,141,8387
142,142,8424
143,143,60126
144,144,7749
145,145,60173
146,146,6751
147,147,4571
148,148,4538
149,149,30133
150,150,4092
151,151,6332
152,152,12552
153,153,9359
154,154,6688
155,155,10919
156,156,19658
157,157,60169
158,158,6680
159,159,20283
160,160,10895
161,161,8585
162,162,19623
163,163,60155
164,164,12719
165,165,30130
166,166,4780
167,167,60158
168,168,30111
169,169,6854
170,170,41661
171,171,35081
172,172,18628
173,173,4450
174,174,4579
175,175,6193
176,176,9771
177,177,31370
178,178,8754
179,179,6069
180,180,5649
181,181,30129
182,182,17944
183,183,30123
184,184,60116
185,185,6757
186,186,7062
187,187,9054
188,188,7570
189,189,14398
190,190,6730
191,191,60145
192,192,7499
193,193,16288
194,194,7254
195,195,7491
196,196,8102
197,197,12235
198,198,60162
199,199,60134
200,200,3384
201,201,3675
202,202,5648
203,203,7941
204,204,4046
205,205,11033
206,206,30125
207,207,5062
208,208,5669
209,209,30249
210,210,6886
211,211,8503
212,212,12172
213,213,30128
214,214,20265
215,215,17513
216,216,7812
217,217,7270
218,218,7713
219,219,9545
220,220,7838
221,221,60169
222,222,43095
223,223,8088
224,224,10294
225,225,60159
226,226,3654
227,227,5932
228,228,22167
229,229,5065
230,230,30128
231,231,60115
232,232,4790
233,233,8928
234,234,6675
235,235,60162
236,236,4009
237,237,6332
238,238,5922
239,239,9493
240,240,14552
241,241,30120
242,242,8202
243,243,4483
244,244,7112
245,245,60163
246,246,4955
247,247,3175
248,248,60137
249,249,5073
250,250,30244
251,251,12724
252,252,12240
253,253,5085
254,254,5502
255,255,5720
256,256,7170
257,257,4536
258,258,6238
259,259,9855
260,260,30372
261,261,60145
262,262,7384
263,263,6899
264,264,5350
265,265,6230
266,266,7931
267,267,3280
268,268,7156
269,269,7288
270,270,9504
271,271,7208
272,272,60155
273,273,7646
274,274,5081
275,275,18796
276,276,60161
277,277,4831
278,278,5448
279,279,60119
280,280,60131
281,281,60143
282,282,33899
283,283,60174
284,284,19574
285,285,60167
286,286,60168
287,287,12782
288,288,60139
289,289,9325
290,290,4795
291,291,17145
292,292,5943
293,293,4340
294,294,7824
295,295,4801
296,296,8634
297,297,30601
298,298,7562
299,299,5399
300,300,60132
301,301,8144
302,302,15066
303,303,14421
304,304,23463
305,305,4858
306,306,5018
307,307,4545
308,308,7023
309,309,5881
310,310,7637
311,311,5602
312,312,4587
313,313,10367
314,314,11706
315,315,6814
316,316,30128
317,317,60165
318,318,10749
319,319,4984
320,320,5575
321,321,6380
322,322,60131
323,323,2952
324,324,6060
325,325,5587
326,326,4989
327,327,7371
328,328,5505
329,329,4904
330,330,30124
331,331,10236
332,332,6205
333,333,60119
334,334,5271
335,335,7548
336,336,60127
337,337,4886
338,338,37848
339,339,3663
340,340,11805
341,341,11987
342,342,9486
343,343,30116
344,344,8423
345,345,6183
346,346,60139
347,347,18005
348,348,20561
349,349,9901
350,350,6092
351,351,60168
352,352,60168
353,353,30122
354,354,30132
355,355,6847
356,356,11920
357,357,4286
358,358,5939
359,359,30133
360,360,26150
361,361,30131
362,362,60176
363,363,60128
364,364,10135
365,365,60166
366,366,5629
367,367,6060
368,368,11481
369,369,30129
370,370,11865
371,371,30120
372,372,6785
373,373,4462
374,374,30127
375,375,4765
376,376,6974
377,377,5658
378,378,30134
379,379,4938
380,380,60129
381,381,7895
382,382,10868
383,383,7786
384,384,26992
385,385,30124
386,386,15569
387,387,3825
388,388,9321
389,389,5389
390,390,5319
391,391,5212
392,392,5600
393,393,60150
394,394,12472
395,395,60143
396,396,6897
397,397,13015
398,398,3513
399,399,16382
400,400,60173
401,401,7047
402,402,30145
403,403,4568
404,404,8670
405,405,36870
406,406,60150
407,407,60119
408,408,30126
409,409,60166
410,410,3132
411,411,60159
412,412,20935
413,413,4592
414,414,17061
415,415,60153
416,416,60118
417,417,9137
418,418,60178
419,419,6594
420,420,30128
421,421,60116
422,422,4847
423,423,30134
424,424,9938
425,425,10962
426,426,60171
427,427,30120
428,428,60184
429,429,4015
430,430,3484
431,431,5589
432,432,5605
433,433,6573
434,434,6777
435,435,30123
436,436,5698
437,437,7354
438,438,3572
439,439,7436
440,440,30134
441,441,6568
442,442,5033
443,443,6433
444,444,16034
445,445,6912
446,446,8215
447,447,7032
448,448,12913
449,449,9892
450,450,60133
451,451,5753
452,452,7014
453,453,11203
454,454,8174
455,455,22321
456,456,10352
457,457,30136
458,458,21062
459,459,39791
460,460,6878
461,461,17367
462,462,7136
463,463,6183
464,464,4709
465,465,30126
466,466,6572
467,467,5766
468,468,30136
469,469,60173
470,470,30128
471,471,60165
472,472,12879
473,473,22162
474,474,7446
475,475,18035
476,476,12588
477,477,60175
478,478,6235
479,479,7906
480,480,60140
481,481,4658
482,482,30128
483,483,22388
484,484,11480
485,485,60162
486,486,28149
487,487,3924
488,488,30116
489,489,6160
490,490,18999
491,491,5668
492,492,5601
493,493,3492
494,494,6688
495,495,60129
496,496,5933
497,497,5564
498,498,60171
499,499,60169
500,500,10850
501,501,7313
502,502,30123
503,503,30123
504,504,30120
505,505,6838
506,506,13641
507,507,13325
508,508,6268
509,509,7502
510,510,8860
511,511,5366
512,512,15098
513,513,4616
514,514,6251
515,515,4897
516,516,30138
517,517,6617
518,518,14404
519,519,60162
520,520,7489
521,521,60126
522,522,6628
523,523,7596
524,524,6912
525,525,3891
526,526,6365
527,527,47397
528,528,3762
529,529,11148
530,530,7728
531,531,6762
532,532,3728
533,533,5976
534,534,8322
535,535,60145
536,536,4518
537,537,30636
538,538,5712
539,539,4702
540,540,8351
541,541,60116
542,542,30120
543,543,6070
544,544,60164
545,545,60174
546,546,8089
547,547,4537
548,548,60136
549,549,12016
550,550,60168
551,551,3611
552,552,10384
553,553,30130
554,554,8230
555,555,7895
556,556,8949
557,557,30125
558,558,60191
559,559,60126
560,560,30244
561,561,4998
562,562,4062
563,563,13063
564,564,4411
565,565,3587
566,566,4898
567,567,30130
568,568,12424
569,569,7766
570,570,30127
571,571,10387
572,572,7788
573,573,60173
574,574,4470
575,575,6457
576,576,5911
577,577,7714
578,578,5547
579,579,60667
580,580,60169
581,581,11148
582,582,5237
583,583,19671
584,584,6046
585,585,11196
586,586,11179
587,587,6679
588,588,6292
589,589,9700
590,590,8297
591,591,5293
592,592,60159
593,593,6572
594,594,60162
595,595,6160
596,596,60173
597,597,5722
598,598,5526
599,599,5352
600,600,30131
601,601,5851
602,602,5999
603,603,5285
604,604,3383
605,605,16497
606,606,3479
607,607,26832
608,608,7916
609,609,5072
610,610,8255
611,611,31825
612,612,4946
613,613,30129
614,614,30652
615,615,14456
616,616,7999
617,617,8279
618,618,5656
619,619,11514
620,620,11310
621,621,60158
622,622,60170
623,623,9330
624,624,6006
625,625,7255
626,626,30127
627,627,6715
628,628,9999
629,629,30144
630,630,6691
631,631,16653
632,632,5371
633,633,8505
634,634,60174
635,635,60164
636,636,60163
637,637,6503
638,638,30132
639,639,5043
640,640,6192
641,641,28304
642,642,4467
643,643,30134
644,644,6778
645,645,5461
646,646,60170
647,647,6038
648,648,60129
649,649,60174
650,650,4805
651,651,5082
652,652,20135
653,653,6169
654,654,11396
655,655,8666
656,656,5065
657,657,5573
658,658,30129
659,659,8414
660,660,20242
661,661,11180
662,662,7086
663,663,14246
664,664,60168
665,665,16075
666,666,8150
667,667,10373
668,668,3970
669,669,7004
670,670,5361
671,671,30136
672,672,60176
673,673,7787
674,674,5058
675,675,6211
676,676,30156
677,677,4248
678,678,6660
679,679,30122
680,680,4779
681,681,5125
682,682,6821
683,683,7379
684,684,19413
685,685,8712
686,686,5976
687,687,9539
688,688,10466
689,689,60173
690,690,60163
691,691,8692
692,692,5053
693,693,5394
694,694,6685
695,695,22284
696,696,4264
697,697,60170
698,698,60179
699,699,8117
700,700,30135
701,701,10522
702,702,60173
703,703,60169
704,704,60167
705,705,30797
706,706,3870
707,707,8277
708,708,30131
709,709,8811
710,710,5466
711,711,21879
712,712,30125
713,713,60156
714,714,30127
715,715,11621
716,716,11234
717,717,9089
718,718,60157
719,719,11368
720,720,10090
721,721,30274
722,722,3478
723,723,8541
724,724,5235
725,725,15564
726,726,60177
727,727,8640
728,728,9628
729,729,8532
730,730,20009
731,731,11494
732,732,5734
733,733,4826
734,734,19398
735,735,12733
736,736,60121
737,737,7454
738,738,60259
739,739,3162
740,740,4889
741,741,30126
742,742,9745
743,743,12883
744,744,30129
745,745,12087
746,746,3802
747,747,8067
748,748,7158
749,749,30124
750,750,4184
751,751,30143
752,752,6380
753,753,6637
754,754,14821
755,755,5090
756,756,30128
757,757,9769
758,758,7265
759,759,60169
760,760,5603
761,761,13419
762,762,5185
763,763,4235
764,764,6767
765,765,30146
766,766,40074
767,767,5121
768,768,60129
769,769,11096
770,770,3795
771,771,44566
772,772,6314
773,773,11290
774,774,3697
775,775,10026
776,776,8083
777,777,5696
778,778,13037
779,779,5207
780,780,6748
781,781,7288
782,782,5088
783,783,11596
784,784,30373
785,785,4730
786,786,30132
787,787,60157
788,788,60161
789,789,7492
790,790,8109
791,791,4462
792,792,4061
793,793,30543
794,794,12528
795,795,6425
796,796,15743
797,797,30120
798,798,4021
799,799,22170
800,800,8931
801,801,4335
802,802,16314
803,803,60141
804,804,60169
805,805,4342
806,806,6793
807,807,7796
808,808,12651
809,809,60157
810,810,35522
811,811,60146
812,812,7900
813,813,30123
814,814,6089
815,815,60172
816,816,10294
817,817,20749
818,818,30130
819,819,14036
820,820,6920
821,821,25133
822,822,10688
823,823,14410
824,824,5661
825,825,8741
826,826,11913
827,827,6491
828,828,17868
829,829,30135
830,830,6127
831,831,60166
832,832,4545
833,833,3917
834,834,30136
835,835,5603
836,836,16323
837,837,7356
838,838,5074
839,839,30407
840,840,5717
841,841,29509
842,842,16659
843,843,7406
844,844,17391
845,845,4099
846,846,8671
847,847,21666
848,848,20789
849,849,60150
850,850,5193
851,851,3768
852,852,60157
853,853,20081
854,854,5048
855,855,60145
856,856,10574
857,857,6645
858,858,3536
859,859,7918
860,860,30147
861,861,6082
862,862,3925
863,863,6352
864,864,11637
865,865,42699
866,866,9482
867,867,35597
868,868,6373
869,869,4547
870,870,6277
871,871,60149
872,872,9344
873,873,30132
874,874,5849
875,875,13622
876,876,5876
877,877,2818
878,878,8643
879,879,7021
880,880,6885
881,881,5424
882,882,3697
883,883,3929
884,884,6581
885,885,30489
886,886,4495
887,887,8516
888,888,7245
889,889,8115
890,890,4548
891,891,6293
892,892,9111
893,893,12331
894,894,6224
895,895,13810
896,896,60171
897,897,60116
898,898,22177
899,899,6673
900,900,60169
901,901,60174
902,902,5553
903,903,60173
904,904,60167
905,905,4614
906,906,6940
907,907,30365
908,908,7078
909,909,6287
910,910,8468
911,911,31059
912,912,5584
913,913,30127
914,914,8646
915,915,30130
916,916,3726
917,917,4708
918,918,7522
919,919,7835
920,920,14423
921,921,17188
922,922,6805
923,923,5504
924,924,6508
925,925,8190
926,926,8092
927,927,60675
928,928,5361
929,929,30392
930,930,4078
931,931,6076
932,932,16394
933,933,60120
934,934,6258
935,935,6358
936,936,8788
937,937,2958
938,938,6055
939,939,17185
940,940,5138
941,941,9525
942,942,25138
943,943,9182
944,944,12166
945,945,5427
946,946,10353
947,947,18171
948,948,9450
949,949,7141
950,950,20140
951,951,12058
952,952,15903
953,953,9333
954,954,7356
955,955,9801
956,956,5524
957,957,60166
958,958,60122
959,959,5156
960,960,30971
961,961,5345
962,962,4653
963,963,8044
964,964,5028
965,965,3919
966,966,30135
967,967,3333
968,968,5498
969,969,6337
970,970,19742
971,971,7995
972,972,12070
973,973,4387
974,974,7946
975,975,7464
976,976,10310
977,977,6063
978,978,6667
979,979,15954
980,980,26210
981,981,7467
982,982,16437
983,983,9512
984,984,7417
985,985,5801
986,986,4823
987,987,8024
988,988,7945
989,989,5303
990,990,18395
991,991,8344
992,992,20139
993,993,22244
994,994,6198
995,995,9061
996,996,5250
997,997,15314
998,998,30150
999,999,6502
1000,1000,8257
1001,1001,60173
1002,1002,7669
1003,1003,3255
1004,1004,5078
1005,1005,3887
1006,1006,4637
1007,1007,7431
1008,1008,4649
1009,1009,5520
1010,1010,7054
1011,1011,43201
1012,1012,12559
1013,1013,4417
1014,1014,60173
1015,1015,30125
1016,1016,9541
1017,1017,4924
1018,1018,6677
1019,1019,5165
1020,1020,4795
1021,1021,7380
1022,1022,60176
1023,1023,5693
1024,1024,4741
1025,1025,21340
1026,1026,5687
1027,1027,9073
1028,1028,4679
1029,1029,60144
1030,1030,60168
1031,1031,16930
1032,1032,60165
1033,1033,7551
1034,1034,13364
1035,1035,11291
1036,1036,30129
1037,1037,5002
1038,1038,5899
1039,1039,5633
1040,1040,12313
1041,1041,20111
1042,1042,4616
1043,1043,3529
1044,1044,60187
1045,1045,5567
1046,1046,6458
1047,1047,10167
1048,1048,30128
1049,1049,7641
1050,1050,8218
1051,1051,30142
1052,1052,15136
1053,1053,11628
1054,1054,6806
1055,1055,30129
1056,1056,6352
1057,1057,60175
1058,1058,5018
1059,1059,5118
1060,1060,11707
1061,1061,5285
1062,1062,60176
1063,1063,6941
1064,1064,10550
1065,1065,4943
1066,1066,9194
1067,1067,60161
1068,1068,4444
1069,1069,8156
1070,1070,60177
1071,1071,4937
1072,1072,12371
1073,1073,12335
1074,1074,5880
1075,1075,5365
1076,1076,8049
1077,1077,14838
1078,1078,60160
1079,1079,14540
1080,1080,30120
1081,1081,7691
1082,1082,11553
1083,1083,5722
1084,1084,8438
1085,1085,13289
1086,1086,4814
1087,1087,3817
1088,1088,5228
1089,1089,4648
1090,1090,6884
1091,1091,6206
1092,1092,3133
1093,1093,4103
1094,1094,60175
1095,1095,7071
1096,1096,11369
1097,1097,7660
1098,1098,30126
1099,1099,7666
1100,1100,4487
1101,1101,60158
1102,1102,7477
1103,1103,5782
1104,1104,14412
1105,1105,5226
1106,1106,60174
1107,1107,4910
1108,1108,5523
1109,1109,30133
1110,1110,4553
1111,1111,3705
1112,1112,3673
1113,1113,5595
1114,1114,30263
1115,1115,6462
1116,1116,5048
1117,1117,60158
1118,1118,5085
1119,1119,5023
1120,1120,9050
1121,1121,14735
1122,1122,4935
1123,1123,4314
1124,1124,4400
1125,1125,4739
1126,1126,4362
1127,1127,9010
1128,1128,5092
1129,1129,5657
1130,1130,4369
1131,1131,5453
1132,1132,60164
1133,1133,30122
1134,1134,5582
1135,1135,5913
1136,1136,8373
1137,1137,30132
1138,1138,22169
1139,1139,5537
1140,1140,6203
1141,1141,9224
1142,1142,9825
1143,1143,8081
1144,1144,60129
1145,1145,5128
1146,1146,10202
1147,1147,30301
1148,1148,60168
1149,1149,10474
1150,1150,7824
1151,1151,7602
1152,1152,7809
1153,1153,9580
1154,1154,30130
1155,1155,60163
1156,1156,60134
1157,1157,4547
1158,1158,11096
1159,1159,60139
1160,1160,9061
1161,1161,24299
1162,1162,9832
1163,1163,60133
1164,1164,5033
1165,1165,9586
1166,1166,60164
1167,1167,4732
1168,1168,9262
1169,1169,6804
1170,1170,5968
1171,1171,5773
1172,1172,6160
1173,1173,14957
1174,1174,34984
1175,1175,60162
1176,1176,6369
1177,1177,30129
1178,1178,4453
1179,1179,5078
1180,1180,7213
1181,1181,17207
1182,1182,14084
1183,1183,30134
1184,1184,4886
1185,1185,53522
1186,1186,13250
1187,1187,11116
1188,1188,7040
1189,1189,8910
1190,1190,22752
1191,1191,19042
1192,1192,17294
1193,1193,60126
1194,1194,6467
1195,1195,30702
1196,1196,7953
1197,1197,7667
1198,1198,30131
1199,1199,7127
1200,1200,4989
1201,1201,11873
1202,1202,60127
1203,1203,8545
1204,1204,5994
1205,1205,30130
1206,1206,60170
1207,1207,6607
1208,1208,9774
1209,1209,4694
1210,1210,4272
1211,1211,13866
1212,1212,30127
1213,1213,18633
1214,1214,5137
1215,1215,4869
1216,1216,60149
1217,1217,9038
1218,1218,60177
1219,1219,12022
1220,1220,5890
1221,1221,60135
1222,1222,60154
1223,1223,60173
1224,1224,30126
1225,1225,60172
1226,1226,30125
1227,1227,30130
1228,1228,11691
1229,1229,60171
1230,1230,7487
1231,1231,30130
1232,1232,60168
1233,1233,30125
1234,1234,19417
1235,1235,19328
1236,1236,60177
1237,1237,60150
1238,1238,8362
1239,1239,15715
1240,1240,8719
1241,1241,5495
1242,1242,3593
1243,1243,6129
1244,1244,60151
1245,1245,3561
1246,1246,5739
1247,1247,8185
1248,1248,6304
1249,1249,60122
1250,1250,6149
